"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"42","Lawson, Alexander S.","Anatomy Of a Typeface","9780879233334","David R. Godine Publisher","1990","0","1,","Default,","0","","436","","","0","","","","","0","","","To the layman, all printing types look the same. But for typographers, graphic artists, and others of that lunatic fringe who believe that the letters we look at daily (and take entirely for granted) are of profound importance, the question of how letters are formed, what shape they assume, and how they have evolved remains one of passionate concern.That exploration of letter forms, and their division and classification into ""families"" or generic groupings, is the heart of this comprehensive study. Written by an expert who has examined letters all his life, this monumental analysis of letter forms considers a broad and representative range of international typefaces. Lawson explores the vast territory of types, their development and uses, their antecedents and offspring, with precision, insight, and clarity. From Garamond to Bembo to the design and manufacture of sans-serif letters and newspaper types, this is the first full-scale investigation of typefaces since D. B. Updike's classic Printing Types was published in 1922.","Crafts & Hobbies / General","","2017-12-17 17:17:47","0","0000-00-00","2017-12-17 21:40:56","d679ee748d561965e6ff1e70ab5e9636",
"43","Shaughnessy, Adrian","How to Be a Graphic Designer Without Losing Your Soul","9781568989839","Princeton Architectural Press","2010-09-22","0","1,","Default,","0","New Expanded Edition","184","","","0","","","","","0","","","Published to instant acclaim in 2005, our best selling How to Be a Graphic Designer without Losing Your Soul has become a trusted resource for graphic designers around the world, combining practical advice with philosophical guidance to help young professionals embark on their careers. This new, expanded edition brings this essential text up to date with new chapters on professional skills, the creative process, and global trends that include social responsibility, ethics, and the rise of digital culture. How to Be a Graphic Designer offers clear, concise guidance along with focused, no-nonsense strategies for setting up, running, and promoting a studio; finding work; and collaborating with clients. The book also includes inspiring new interviews with leading designers, including Jonathan Barnbrook, Sara De Bondt, Stephen Doyle, Ben Drury, Paul Sahre, Dmitri Siegel, Sophie Thomas, and Magnus Vol Mathiassen.","Design / Graphic Arts / Typography","","2017-12-17 17:18:26","0","0000-00-00","2017-12-17 21:40:58","be1dfafbe6b0c457c77d9a74f92e39a6",
"44","Manzini, Ezio","Design, When Everybody Designs","9780262028608","Mit Press","2015-02-20","0","1,","Default,","0","Design Thinking, Design Theory","257","","","0","","","","","0","","","In a changing world everyone designs: each individual person and each collective subject, from enterprises to institutions, from communities to cities and regions, must define and enhance a life project. Sometimes these projects generate unprecedented solutions; sometimes they converge on common goals and realize larger transformations. As Ezio Manzini describes in this book, we are witnessing a wave of social innovations as these changes unfold -- an expansive open co-design process in which new solutions are suggested and new meanings are created. Manzini distinguishes between diffuse design (performed by everybody) and expert design (performed by those who have been trained as designers) and describes how they interact. He maps what design experts can do to trigger and support meaningful social changes, focusing on emerging forms of collaboration. These range from community-supported agriculture in China to digital platforms for medical care in Canada; from interactive storytelling in India to collaborative housing in Milan. These cases illustrate how expert designers can support these collaborations -- making their existence more probable, their practice easier, their diffusion and their convergence in larger projects more effective. Manzini draws the first comprehensive picture of design for social innovation: the most dynamic field of action for both expert and nonexpert designers in the coming decades.","Design / History & Criticism","","2017-12-17 17:19:38","0","0000-00-00","2017-12-17 21:41:00","fda4924129f62dc042af397b3f9c2a69",
"45","Friedewald, Boris","Bauhaus","9783791342009","Prestel","2009","0","1,","Default,","0","","128","","","0","","","","","0","","","This accessible introduction to the Bauhaus tells the story of a radical concept of artistic expression that would transcend the traditional boundaries of the arts. Written in an engaging journalistic style and featuring an innovative layout, the book sheds light on the unconventional lives of the people involved in the Bauhaus, examines the experimental teachings of the movement, and profiles its major figures. This new volume in the Living Art series gives an overview of the developments and ideas of the Bauhaus and offers new perspectives on the art and personalities of this important era. Including approximately 100 full-colour reproductions, this volume presents the historical context that fostered the movement and introduces readers to the major Bauhaus artworks and artists. A fascinating introduction for anyone interested in learning about this renowned movement, here is a book that is as readable as it is informative.","Art / History / Modern (late 19th Century to 1945)","","2017-12-17 17:20:07","0","0000-00-00","2017-12-17 21:41:02","152224bfa2b226cb311d8612644e702f",
"46","de Saint-Exupéry, Antoine","Citadela","9788070219362","Vyšehrad","2008","0","1,","Default,","0","","438","","","0","","","","","0","","","","","","2017-12-17 17:21:28","0","0000-00-00","2017-12-17 21:41:04","7187cdefaa16fd58656cd8edf77c523d",
"47","Metahaven, ","Black Transparency","9783956790065","Sternberg Press","2014-09","0","1,","Default,","0","","288","","","0","","","","","0","","","Black transparency is an involuntary disclosure of secrets against a backdrop of systematic online surveillance, as large parts of contemporary life move into the digital realm. Black transparency, as a radical form of information democracy, has brought forward a new sense of unpredictability to international relations, and raises questions about the conscience of the whistleblower, whose personal politics are now instantly geopolitical. Empowered by networks of planetary-scale computation, disclosures today take on an unprecedented scale and immediacy. Difficult to contain and even harder to prevent, black transparency does not merely create openness, order, and clarity; rather, it triggers chaos, stirring the currents of a darker and more mercurial world. Metahaven was founded in 2007 by Vinca Kruk and Daniel van der Velden. In Black Transparency - part essay, part fanzine - Metahaven embark on a journey of subversion, while examining transparency's intersections with design, architecture, and pop culture, as well as its ability to unravel the circuitry of modern power. A Google executive once said: ""If you want to liberate a society just give them the Internet."" But how does one liberate a society that already has the Internet? Publicly, modern government adheres to the twin ideals of institutional transparency and personal privacy. In reality, while citizens are subjected to mass surveillance, government practice goes unchecked. A new generation has taken to the Internet to defend the right to governance without secrets. From Bradley Manning and WikiLeaks to LulzSec and Anonymous, from the Icelandic Modern Media Initiative to the revelations of Edward Snowden, a coalition is breaking through the secrecy that lies at the core of the modern state.","","","2017-12-17 17:21:53","0","0000-00-00","2017-12-17 21:41:06","e8c591d15e80d4811568173ad475028d",
"48","Bosák, Petr|Jansa, Robert","Proto","9788086863603","Tranzit.cz","2013","0","1,","Default,","0","","243","","","0","","","","","0","","","","","","2017-12-17 17:25:24","0","0000-00-00","2017-12-17 21:41:08","16463468b443f6935d72ff92f9fa39f3",
"49","Aranda, Julieta|Wood, Brian Kuan|Vidokle, Anton","Internet Does Not Exist, The","9783956791307","Sternberg Press","2015","0","1,","Default,","0","","320","","","0","","","","","0","","","""The internet does not exist. Maybe it did exist only a short time ago, but now it only remains as a blur, a cloud, a friend, a deadline, a redirect, or a 404. If it ever existed, we couldn’t see it. Because it has no shape. It has no face, just this name that describes everything and nothing at the same time. Yet we are still trying to climb onboard, to get inside, to be part of the network, to get in on the language game, to show up on searches, to appear to exist. But we will never get inside of something that isn’t there. All this time we’ve been bemoaning the death of any critical outside position, we should have taken a good look at information networks. Just try to get in. You can’t. Networks are all edges, as Bruno Latour points out. We thought there were windows but actually it’s made of mirrors. And in the meantime we are being faced with more and more—not just information, but the world itself. And a very particular world that has already become part of our consciousness. And it wants something. It doesn’t only want to harvest our eyeballs, our attention, our responses, and our feelings. It also wants to condition our minds and bodies to absorb all the richness of the planet’s knowledge.""--Back cover.","","","2017-12-17 17:27:42","0","0000-00-00","2017-12-17 21:41:10","7e3caba84a3dd100cc35191dc2139698",
"50","Kroeger, Michael|Rand, Paul","Paul Rand","9781568987255","Princeton Architectural Press","2008","0","1,","Default,","0","","84","","","0","","","","","0","","","As one of the most influential and inspirational graphic designers of the twentieth century, Paul Rand defined modern American graphic design. His iconic logo designs for IBM, UPS, and the ABC television network distilled the essences of modernity for his corporate patrons. His body of work includes advertising, poster, magazine, and book designscharacterized by simplicity and a wit uniquely his own. His ability to discuss design with insight and humor made him one of the most revered design educators of our time. This latest volume of the popular Conversations with Students series presents Rand's last interview, recorded at Arizona State University one year before his death in 1996. Beginners and seasoned design professionals alike will be informed by Rand's words and thoughts on varied topics ranging from design philosophy to design education.","Design / Graphic Arts / General","","2017-12-17 17:27:56","0","0000-00-00","2017-12-17 21:41:13","7c94160dd77407d5df2a9b96b60df1aa",
"51","Noordzij, Gerrit","Stroke, The","9780907259305","Princeton Architectural Press","2006-01-01","0","1,","Default,","0","","96","","","0","","","","","0","","","Appearing for the first time in an English-language edition, The Stroke puts forward a genuine theory of writingthat is, the concepts behind letters on the page, whether by pen, pencil, or brush. Concerned not with art calligraphy and beautiful forms, The Stroke is a description of the phenomenon of letters and how they are made in writing. Starting from basic principles, Noordzij begins with the white space that creates definition by surrounding letters. Then, using simple geometrical concepts, he describes in minute detail how the strokes of writing can be formed. His theory serves to repair the split that grew up, with the invention of printing, between written and typographic letters. With The Stroke, Noordzij can be seen as a prophet of digital typography committed to freeing typefaces from the constraints of their embodiment in metal.","Architecture / General","","2017-12-17 17:28:17","0","0000-00-00","2017-12-17 21:41:15","c7f3e580679fd135c698101b7a61bbf4",
"52","Smeijers, Fred","Counterpunch, 2nd Edition","9780907259428","Princeton Architectural Press","2011-12-14","0","1,","Default,","0","","200","","","0","","","","","0","","","Typography is still dominated by letterforms from the first one hundred years of European printing. Where were the processes and attitudes that lie behind these forms? Fred Smeijers is a type desinger who learn to design and cut punches: the key instruments with which metal type is made. This book is a work of practical history, with much contemporary relevance.","Design / Graphic Arts / Typography","","2017-12-17 17:28:32","0","0000-00-00","2017-12-17 21:41:22","32b2d104212992ff5478fabbf78da2ca",
"53","Bringhurst, Robert","Elements of Typographic Style, The","9780881792065","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 17:31:24","0","0000-00-00","2017-12-17 21:41:24","7ab7cb98989920d5fa5bf1440fb00ab0",
"54","de Smet, Catherine","Form Of the Book Book, The","9780956260574","Occasional Papers","2010","0","1,","Default,","0","","95","","","0","","","","","0","","","A collection of essays on book design by Catherine de Smet, James Goggin, Jenni Eneqvist, Roland Früh, Corina Neuenschwander, Sarah Gottlieb, Richard Hollis, Chrissie Charlton, Armand Mevis","","","2017-12-17 17:32:15","0","0000-00-00","2017-12-17 21:41:26","509e0b6cae80bfe5a774c09f757f4e63",
"55","Noordzij, Gerrit","Letterletter","9780881791754","Hartley & Marks","2000","0","1,","Default,","0","","196","","","0","","","","","0","","","This iconoclastic collection of essays on typography, writing and life is the work of calligrapher, type designer and teacher of lettering and design, Gerrit Noordzij. Originally a series of 15 issues of a sporadic journal, the articles form a contribution to the literature of type. The letters are intended to open up new perspectives on the science of art and the art of science and the work is intended for all those who care about the written word. Essays include: Writing as Shape; The Increase of Illiteracy; The Dimensions of the Mental Image and its Origin; The Nature of Writing; The Truth About the Serif; and Techniques of Engraved Lettering.","Design / Graphic Arts / Typography","","2017-12-17 17:32:54","0","0000-00-00","2017-12-17 21:41:28","2f25769446533c5d182f2e1f48ca77c8",
"56","Schep, Tijmen","Design My Privacy","9789063694371","Bis B.v., Uitgeverij (Bis Publishers)","2017-02","0","1,","Default,","0","","160","","","0","","","","","0","","","How can we protect our privacy in this digital era? This question is increasingly relevant to designers due to the emergence of 'the internet of things'. Technology is now part of our daily items. Watches, clothing, cars, and houses are becoming 'smart' and connected to the 'cloud'.  This book provides guidance on how to design to address concerns regarding privacy.Design My Privacy is written to encourage designers to think about, as well as design for privacy issues. The technology behind smart products and systems are so complex, that it is difficult to understand the consequences for the consumer's everyday life. Designers must think about transparency and accessibility in the design of privacy-sensitive products and services.  This book offers guidance in the form of 8 design principles for products and services.","","","2017-12-17 17:33:21","0","0000-00-00","2017-12-17 21:41:30","6919397f300ad43895523d2100df6648",
"57","Sutnar, Ladislav|Knobloch, Iva","Ladislav Sutnar V Textech","9788074370250","Kant","2010","0","1,","Default,","0","","267","","","0","","","","","0","","","","","","2017-12-17 17:33:50","0","0000-00-00","2017-12-17 21:41:32","fa2904087e7fad6da1b533aba49837ad",
"58","Steyerl, Hito|Berardi, Franco","Wretched Of the Screen, The","9781934105825","Sternberg Press","2012","0","1,","Default,","0","","198","","","0","","","","","0","","","In Hito Steyerl's writing we begin to see how, even if the hopes and desires for coherent collective political projects have been displaced onto images and screens, it is precisely here that we must look frankly at the technology that seals them in. The Wretched of the Screen collects a number of Steyerl 's landmark essays from recent years in which she has steadily developed her very own politics of the image. Twisting the politics of representation around the representation of politics, these essays uncover a rich trove of information in the formal shifts and aberrant distortions of accelerated capitalism, of the art system as a vast mine of labor extraction and passionate commitment, of occupation and internship, of structural and literal violence, enchantment and fun, of hysterical, uncontrollable flight through the wreckage of postcolonial and modernist discourses and their unanticipated openings. -Back cover.","","","2017-12-17 17:34:16","0","0000-00-00","2017-12-17 21:41:34","14e09abf6cd86a9c37729459c25bad8c",
"59","McGuirk, Justin|Herrero, Gonzalo","Fear & Love: Reactions to a Complex World","9780714872544","Phaidon Press","2017-02-13","0","1,","Default,","0","","223","","","0","","","","","0","","","To accompany The Design Museum's opening exhibition, which explores the anxiety and optimism inherent in contemporary designFear and Love, published to accompany the major exhibition that will open the Design Museum's highly anticipated new home in Kensington, London, examines the role of design in the twenty-first century. It proposes that, in a rapidly changing world, design is defined by both anxiety and optimism. Organized by five key themes - Network, Empathy, Body, Earth and Periphery - the book explores design's relationship to emotive issues. Eleven leading figures from across the spectrum of design provide a wide-ranging set of attitudes to design in our times: Andrés Jaque/Office for Political Innovation, OMA, Madeline Gannon, Metahaven, Hussein Chalayan, Neri Oxman, Christien Meindertsma, Ma Ke, Kenya Hara, Arquitectura Expandida and Rural Urban Framework.","Design / Industrial","","2017-12-17 17:34:45","0","0000-00-00","2017-12-17 21:41:36","c7196f4d0ad27a0b94978ad20d49ef36",
"60","Müller-Brockmann, Josef|Müller-Brockman, Josef","Grid Systems in Graphic Design","9783721201451","Niggli","1996-01","0","1,","Default,","0","","184","","","0","","","","","0","","","""From a professional for professionals, here is the definitive word on using grid systems in graphic design. Though Muller-Brockman first presented hi interpretation of grid in 1961, this text is still useful today for anyone working in the latest computer-assisted design. With examples on how to work correctly at a conceptual level and exact instructions for using all of the systems (8 to 32 fields), this guidebook provides a crystal-clear framework for problem-solving."" - product description.","Design / Graphic Arts / General","","2017-12-17 17:35:04","0","0000-00-00","2017-12-17 21:41:38","344915c484d632fc728076868c3a67bc",
"61","Moravian Gallery, |Gallery, Moravian","27th International Biennial Of Graphic Design Brno 2016","9788070273005","Moravian Gallery in Brno","2016","0","1,","Default,","0","","315","","","0","","","","","0","","","","","","2017-12-17 17:36:23","0","0000-00-00","2017-12-17 21:41:40","5f03122a58c00f709f0945a2d9b917d4",
"62","Breyer, Johannes|Gallery, Moravian","26. Mezinárodní Bienále Grafického Designu Brno 2014","9788070272749","Moravská Galerie V Brně","2014","0","1,","Default,","0","","245","","","0","","","","","0","","","","","","2017-12-17 17:36:55","0","0000-00-00","2017-12-17 21:41:42","dd70e8dab8f8c65d1e296927c0d4daaa",
"63","Hochuli, Jost|Bürkle, J. Christoph|Willberg, Hans Peter","Jost Hochuli","3721203992","National Book Network","2002","0","1,","Default,","0","","210","","","0","","","","","0","","","ost Hochuli has been working since 1959 as a freelance graphic designer. Although book design forms only a small part of his activity, he has become well known particularly through this work. If several of his commercial artwork pieces and typefaces cut in wood and linoleum are pictured in this volume, this is mainly for the reason that two seemingly irreconcilable design positions should be documented. These have come to an ultimate synthesis in this book. One reflects a traditional, middle-axis design position oriented towards a written archetype, the other a modern position that is derived from the so-called Swiss typography and thus ultimately from the Bauhaus. The three thematic blocks Commercial Graphic Design, Typefaces Cut in Wood and Linoleum and Books are accompanied by theoretical texts from Robin Kinross, Hans Peter Willberg and Jost Hochuli, while generously documented by numerous examples from Hochuli's work.","Design / Book","","2017-12-17 17:38:09","0","0000-00-00","2017-12-17 21:41:44","1d01dedeee62e2c0d10cfee289de1fab",
"64","Coles, Alex|Gruijthuijsen, Krist","Design Fiction","9783956790485","Sternberg Press","2016","0","1,","Default,","0","","169","","","0","","","","","0","","","After the first EP volume on the activities of the early Italian avant-garde, the second volume in the series identifies the current fascination with fiction across art, design, and architecture. Practitioners and theorists explore this strategy by pushing the debate into both speculative and real-fictitious terrains. Newly commissioned interviews, artist projects, and essays shed light on topics such as parafiction and algorithmic ambiguity. Included in the volume is one of the final interviews to be published with novelist and semiotician Umberto Eco; a conversation with Bruce Sterling, in which the science-fiction author responds to designers who reference his writings; and design theorist Vilém Flusser's 1966 essay ?On Fiction,? in its first English translation.","","","2017-12-28 12:48:35","0","0000-00-00","2017-12-28 12:48:35","fa40c50794bf75e6146f67cf5c67c559",
"65","Reas, Casey","Form and Code","9781568989372","Princeton Archit.press","2010-10-15","0","1,","Default,","0","","176","","","0","","","","","0","","","The last decade has witnessed a proliferation of artists whose primary medium is software. Algorithmic processes, harnessed through the medium of computer code, allow artists to generate increasingly complex visual forms that they otherwise might not have been able to imagine, let alone delineate. The newest volume in our Design Brief series Form+Code in Design, Art, and Architecture is a non-technical introduction to the history, theory, and practice of software in the arts. Organized into themes linked to aspects of code—repetition, transformation,parameters, visualization, and simulation—each of the book's sections contains an essay, code samples, and numerous illustrations. An accompanying website (www.formandcode.com) features code samples in various programming languages for the examples in the book. An ideal introductory text for digital design and media arts courses, this unique primer will also appeal to students and professionals looking for a survey of this exciting new area of artistic production.","Architecture / General","","2017-12-28 13:10:37","0","0000-00-00","2017-12-28 13:10:37","0c8d1f1dabbf707b301e15544ad2e9ae",
"66","Hsiao, Andrew","Verso Book Of Dissent, The","9781784786175","Verso Books","2016-10-25","0","1,","Default,","0","","400","","","0","","","","","0","","","Fully updated compendium of revolt and resistance  Throughout the ages and across every continent, people have struggled against those in power and raised their voices in protest-rallying others around them or, sometimes, inspiring uprisings many years later. Their echoes reverberate from Ancient Greece, China and Egypt, via the dissident poets and philosophers of Islam and Judaism, through to the Arab slave revolts and anti-Ottoman rebellions of the Middle Ages. These sources were tapped during the Dutch and English revolutions at the outset of the Modern world, and in turn flowed into the French, Haitian, American, Russian and Chinese revolutions. More recently, resistance to war and economic oppression has flared up on battlefields and in public spaces from Beijing and Cairo to Moscow and New York City.  This anthology, global in scope, presents voices of dissent from every era of human history: speeches and pamphlets, poems and songs, plays and manifestos. Every age has its iconoclasts, and yet the greatest among them build on the words and actions of their forerunners. The Verso Book of Dissent should be in the arsenal of every rebel who understands that words and ideas are the ultimate weapons.","POLITICAL SCIENCE / Political Ideologies / Radicalism","","2018-01-09 12:25:56","0","0000-00-00","2018-01-09 12:25:56","0e2a2653383233b812db10913274ca38",
"67","Keucheyan, Razmig","Left Hemisphere","9781781685594","Verso Books","2014-11-04","0","1,","Default,","0","","264","","","0","","","","","0","","","As the crisis of capitalism unfolds, the need for alternatives is felt ever more intensely. The struggle between radical movements and the forces of reaction will be merciless. A crucial battlefield, where the outcome of the crisis will in part be decided, is that of theory. Over the last twenty-five years, radical intellectuals across the world have produced important and innovative ideas. The endeavour to transform the world without falling into the catastrophic traps of the past has been a common element uniting these new approaches. This book – aimed at both the general reader and the specialist – offers the first global cartography of the expanding intellectual field of critical contemporary thought. More than thirty authors and intellectual currents of every continent are presented in a clear and succinct manner. A history of critical thought in the twentieth and twenty-first centuries is also provided, helping situate current thinkers in a broader historical and sociological perspective.","Political Science / Political Ideologies / General","","2018-01-09 12:26:08","0","0000-00-00","2018-01-09 12:26:08","768c0c581dff425eeb14160ea8932721",
"68","Greenfield, Adam","Radical Technologies","9781784780432","Verso","2017","0","1,","Default,","0","","368","","","0","","","","","0","","","A field manual to the technologies that are transforming our lives  Everywhere we turn, a startling new device promises to transfigure our lives. But at what cost? In this urgent and revelatory excavation of our Information Age, leading technology thinker Adam Greenfield forces us to reconsider our relationship with the networked objects, services and spaces that define us. It is time to re-evaluate the Silicon Valley consensus determining the future.  We already depend on the smartphone to navigate every aspect of our existence. We're told that innovations--from augmented-reality interfaces and virtual assistants to autonomous delivery drones and self-driving cars--will make life easier, more convenient and more productive. 3D printing promises unprecedented control over the form and distribution of matter, while the blockchain stands to revolutionize everything from the recording and exchange of value to the way we organize the mundane realities of the day to day. And, all the while, fiendishly complex algorithms are operating quietly in the background, reshaping the economy, transforming the fundamental terms of our politics and even redefining what it means to be human.  Having successfully colonized everyday life, these radical technologies are now conditioning the choices available to us in the years to come. How do they work? What challenges do they present to us, as individuals and societies? Who benefits from their adoption? In answering these questions, Greenfield's timely guide clarifies the scale and nature of the crisis we now confront --and offers ways to reclaim our stake in the future.","SOCIAL SCIENCE / Popular Culture","","2018-01-09 12:26:23","0","0000-00-00","2018-01-09 12:26:23","3927b9cbd8be5780ff2f979b4e512aa4",
"69","Groys, Boris","In the Flow","9781784783501","Verso","2016","0","1,","Default,","0","","202","","","0","","","","","0","","","The leading art theorist takes on art in the age of the Internet  In the early twentieth century, art and its institutions came under critique from a new democratic and egalitarian spirit. The notion of works of art as sacred objects was decried and subsequently they would be understood merely as things. This meant an attack on realism, as well as on the traditional preservative mission of the museum. Acclaimed art theorist Boris Groys argues this led to the development of ""direct realism"": an art that would not produce objects, but practices (from performance art to relational aesthetics) that would not survive. But for more than a century now, every advance in this direction has been quickly followed by new means of preserving art's distinction.  In this major new work, Groys charts the paradoxes produced by this tension, and explores art in the age of the thingless medium, the Internet. Groys claims that if the techniques of mechanical reproduction gave us objects without aura, digital production generates aura without objects, transforming all its materials into vanishing markers of the transitory present.","","","2018-01-09 12:26:38","0","0000-00-00","2018-01-09 12:26:38","29a8efdb4ef5cc26d1d7d2a4520bafa4",
"70","Adorno, Theodor W.|Bloch, Ernst|Adorno, Theodor","Aesthetics and Politics","9781844675708","Verso","1977","0","1,","Default,","0","","220","","","0","","","","","0","","","No other country and no other period has produced a tradition of major aesthetic debate to compare with that which unfolded in German culture from the 1930s to the 1950s. In Aesthetics and Politics the key texts of the great Marxist controversies over literature and art during these years are assembled in a single volume. They do not form a disparate collection but a continuous, interlinked debate between thinkers who have become giants of twentieth-century intellectual history.","Philosophy / Political","","2018-01-09 12:27:07","0","0000-00-00","2018-01-09 12:27:07","fba5738ca3b1f8d30e314d82485b4c20",
"71","Wark, McKenzie","General Intellects","9781786631909","Verso Books","2017","0","1,","Default,","0","","320","","","0","","","","","0","","","A guide to the thinkers and the ideas that will shape the future  What happened to the public intellectuals that used to challenge and inform us? Who is the Sartre or De Beauvoir of the internet age? General Intellects argues that we no longer have such singular figures, but we do have general intellects whose writing could, if read together, explain our times. Covering topics such as culture, politics, work, technology, and the Anthropocene, each chapter is a concise account of an individual thinker, providing useful context and connections to the work of the others. McKenzie Wark's distinctive readings are appreciations, but are also critical of how neoliberal universities militate against cooperative intellectual work to understand and change the world.  The thinkers included are Amy Wendling, Kojin Karatani, Paolo Virno, Yann Moulier Boutang, Maurizio Lazzarato, Franco ""Bifo"" Berardi, Angela McRobbie, Paul Gilroy, Slavoj Zizek, Jodi Dean, Chantal Mouffe, Wendy Brown, Judith Butler, Azumo Hiroki, Paul B. Pr�ciado, Wendy Chun, Timothy Morton, Quentin Meillassoux, Isabelle Stengers, and Donna Haraway.","","","2018-01-09 12:27:28","0","0000-00-00","2018-01-09 12:27:28","44e8c4edd18e19a8b69ee4102a7c01d5",
"72","Jeffries, Stuart","Grand Hotel Abyss","9781784785697","Verso Books","2017-09-26","0","1,","Default,","0","","336","","","0","","","","","0","","","Who were the Frankfurt School--Benjamin, Adorno, Marcuse, Horkheimer--and why do they matter today?  In 1923, a group of young radical German thinkers and intellectuals came together to at Victoria Alle 7, Frankfurt, determined to explain the workings of the modern world. Among the most prominent members of what became the Frankfurt School were the philosophers Walter Benjamin, Theodor Adorno, Max Horkheimer, and Herbert Marcuse. Not only would they change the way we think, but also the subjects we deem worthy of intellectual investigation. Their lives, like their ideas, profoundly, sometimes tragically, reflected and shaped the shattering events of the twentieth century.  Grand Hotel Abyss combines biography, philosophy, and storytelling to reveal how the Frankfurt thinkers gathered in hopes of understanding the politics of culture during the rise of fascism. Some of them, forced to escape the horrors of Nazi Germany, later found exile in the United States. Benjamin, with his last great work--the incomplete Arcades Project--in his suitcase, was arrested in Spain and committed suicide when threatened with deportation to Nazi-occupied France. On the other side of the Atlantic, Adorno failed in his bid to become a Hollywood screenwriter, denounced jazz, and even met Charlie Chaplin in Malibu.  After the war, there was a resurgence of interest in the School. From the relative comfort of sun-drenched California, Herbert Marcuse wrote the classic One Dimensional Man, which influenced the 1960s counterculture and thinkers such as Angela Davis; while in a tragic coda, Adorno died from a heart attack following confrontations with student radicals in Berlin.  By taking popular culture seriously as an object of study--whether it was film, music, ideas, or consumerism--the Frankfurt School elaborated upon the nature and crisis of our mass-produced, mechanised society. Grand Hotel Abyss shows how much these ideas still tell us about our age of social media and runaway consumption.","","","2018-01-09 12:27:46","0","0000-00-00","2018-01-09 12:27:46","756c8917a7f66a4f33087948f8fe01a5",
"73","Eagleton, Terry","Ideology","9781844671434","Verso","2007","0","1,","Default,","0","","242","","","0","","","","","0","","","Ideology has never before been so much in evidence as a fact and so little understood as a concept as it is today. In this now classic work, originally written for both newcomers to the topic and for those already familiar with the debate, Terry Eagleton unravels the many different definitions of ideology, and explores the concept's torturous history from the Enlightenment to postmodernism.  The book provides lucid accounts of the thought of key Marxist thinkers, as well as of Schopenhauer, Nietzsche, Freud and the various post-structuralists. Now updated in the light of current theoretical debates, this essential text by one of our most important contemporary critics clarifies a notoriously confused subject.  Ideology is core reading for students and teachers of literature and politics.","Political Science / Political Ideologies / General","","2018-01-09 12:28:17","0","0000-00-00","2018-01-09 12:28:17","97e32ff35ad61adbf2f62bb9f0195d31",
"74","Dörre, Klaus|Lessenich, Stephan|Rosa, Hartmut","Sociology, Capitalism, Critique","9781781689325","Verso","2015","0","1,","Default,","0","","342","","","0","","","","","0","","","Three radical perspectives on the critique of capitalism  For years, the critique of capitalism was lost from public discourse; the very word ""capitalism"" sounded like a throwback to another era. Nothing could be further from the truth today. In this new intellectual atmosphere, Sociology, Capitalism, Critique is a contribution to the renewal of critical sociology, founded on an empirically grounded diagnosis of society's ills. The authors, Germany's leading critical sociologists--Klaus D�rre, Stephan Lessenich, and Hartmut Rosa--share a conviction that ours is a pivotal period of renewal, in which the collective endeavour of academics can amount to an act of intellectual resistance, working to prevent any regressive development that might return us to neoliberal domination.  The authors discuss key issues, such as questions of accumulation and expropriation; discipline and freedom; and the powerful new concepts of activation and acceleration. Their politically committed sociology, which takes the side of the losers in the current crisis, places society's future well-being at the centre of their research.  Their collective approach to this project is a conscious effort to avoid co-optation in the institutional practices of the academy. These three differing but complementary perspectives serve as an insightful introduction to the contemporary themes of radical sociology in capitalism's post-crisis phase.","Political Science / Political Ideologies / Communism, Post-Communism & Socialism","","2018-01-09 12:28:35","0","0000-00-00","2018-01-09 12:28:35","3a96a09b15b9ccae7a9cb62f434c187b",
"75","Lefebvre, Henri","Critique Of Everyday Life","9781781683170","Verso","2014","0","1,","Default,","0","Critique of Everyday Life (0\\|omnibus)","905","","","0","","","","","0","","","Henri Lefebvre's magnum opus: a monumental exploration of contemporary society.  Henri Lefebvre's three-volume Critique of Everyday Life is perhaps the richest, most prescient work by one of the twentieth century's greatest philosophers. Written at the birth of post-war consumerism, the Critique was a philosophical inspiration for the 1968 student revolution in France and is considered to be the founding text of all that we know as cultural studies, as well as a major influence on the fields of contemporary philosophy, geography, sociology, architecture, political theory and urbanism. A work of enormous range and subtlety, Lefebvre takes as his starting-point and guide the ""trivial"" details of quotidian experience: an experience colonized by the commodity, shadowed by inauthenticity, yet one which remains the only source of resistance and change.  This is an enduringly radical text, untimely today only in its intransigence and optimism.","Social Science / Sociology / General","","2018-01-09 12:28:55","0","0000-00-00","2018-01-09 12:28:55","2295ae194c92e9f16a343c40086078ee",
