"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"20","Bratton, Benjamin H.","Dispute Plan to Prevent Future Luxury Constitution","9783956791956","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 16:49:02","0","0000-00-00","2017-12-17 21:40:12","edd9a4589d06bf528e131db2408a4432",
"21","Bieber, Alain|Armstrong, Rachel","Planet B - 100 Ideen Für Eine Neue Welt. 100 Ideas For a New World","9783863359447","Koenig Books","2016-07","0","1,","Default,","0","","237","","","0","","","","","0","","","Wie werden wir in Zukunft leben? Wie sieht die Welt von morgen aus? Was werden wir tragen? Was werden wir essen? Um was werden wir kämpfen? Die vorliegende Publikation ist eine eklektische Sammlung unterschiedlicher Ideen für eine neue Welt -- einen 'Planeten B.' Plan A muss für gescheitert erklärt werden, es ist Zeit, gemeinsam an Plan B zu arbeiten. Die weltweit visionärsten Künstler, Designer, Architekten, Schriftsteller und Zukunftsforscher präsentieren in diesem Band ihre politischen, poetischen, komischen und radikalen Ideen für eine neue Welt. Mit Beiträge von Rachel Armstrong, Nelly Ben Hayoun, Ernst Bloch, Stewart Brand, Brad Downey, Kevin Kelly, Ray Kurzweil, Chus Martínez, Niklas Maak, Lucy McRae, Philippe Rahm, raumlaborberlin, Tomás Saraceno, Space Caviar, Jakob Tigges and Friedrich von Borries und vielen mehr. = How will we live in the future? What will the world of tomorrow be like? What will we wear? What will we eat? What will we be fighting for? The publication is a mix of very different ideas for a new world - a Planet B. Plan A hasn't worked and we have to come up with a Plan B. In this book, the world's most visionary artists, designers, architects, writers and future scientists share their equally realistic and utopian, serious and playful, political and poetic perspectives for a new world. With contributions by Rachel Armstrong, Nelly Ben Hayoun, Ernst Bloch, Stewart Brand, Brad Downey, Kevin Kelly, Ray Kurzweil, Chus Martínez, Niklas Maak, Lucy McRae, Philippe Rahm, Raumlaborberlin, Tomás Saraceno, Space Caviar, Jakob Tigges and Friedrich von Borries and many more.","","","2017-12-17 16:50:22","0","0000-00-00","2017-12-17 21:40:14","28eb3fff3633878e1e263f6b3003e79a",
"22","Metahaven, |Velden, Daniel van der|Vishmidt, Marina|Kruk, Vinca","Uncorporate Identity","9783037781692","Prestel Pub","2010","0","1,","Default,","0","","608","","","0","","","","","0","","","Bridging between design, geopolitics, architecture, and branding, Metahaven's ""Uncorporate Identity"" defies easy categorization as a monograph. The book is organized as a sequence of five chapters, dealing with data havens and statehood, post-communist architecture, visual legacies of the war on terror, tourist brands and border control, and social networks restructuring soft power, branding and governance internationally. With each chapter comprised of case studies, notes and essays, it explores visual identity in a networked and multi-polar world.  ""Uncorporate Identity"" is conceived and edited by Metahaven (Daniel van der Velden and Vinca Kruk) with Marina Vishmidt, and has contributions by Boris Groys, David Singh Grewal, Vladimir Kolossov, Keller Easterling, Dieter Lesage, China Miéville, Chantal Mouffe, Pier Vittorio Aureli, Bruno Besana, Michael Taussig, Regula Stämpfli, Mihnea Mircan, Florian Schneider, Marina Vishmidt, and others.","Architecture / Design, Drafting, Drawing & Presentation","","2017-12-17 16:50:51","0","0000-00-00","2017-12-17 21:40:16","ceed386d26459d63b594e9c1cae1c109",
"23","Lupton, Ellen","Thinking With Type, 2nd Revised and Expanded Edition","9781568989693","Princeton Architectural Press","2010-10-06","0","1,","Default,","0","","224","","","0","","","","","0","","","Our all time best selling book is now available in a revised and expanded second edition. Thinking with Type is the definitive guide to using typography in visual communication, from the printed page to the computer screen. This revised edition includes forty-eight pages of new content, including the latest information on style sheets for print and the web, the use of ornaments and captions, lining and non-lining numerals, the use of small caps and enlarged capitals, as well as information on captions, font licensing, mixing typefaces, and hand lettering. Throughout the book, visual examples show how to be inventive within systems of typographic form—what the rules are and how to break them. Thinking with Type is a type book for everyone: designers, writers, editors, students, and anyone else who works with words. The popular online companion to Thinking with Type (www.thinkingwithtype.com) has been revised to reflect the new material in the second edition.","Design / Graphic Arts / Typography","","2017-12-17 16:51:13","0","0000-00-00","2017-12-17 21:40:18","473cbe707bde5f50b6eb3db02d58c03a",
"24","Gill, Eric","Esej O Typografii","9788087705148","Rubato","2014","0","1,","Default,","0","","141","","","0","","","","","0","","","","","","2017-12-17 16:51:30","0","0000-00-00","2017-12-17 21:40:20","f8b21820f284d242037d6da742d46bdc",
"25","Hofmann, Armin","Graphic Design Manual","3721200063","Niggli","2004","0","1,","Default,","0","","200","","","0","","","","","0","","","Armin Hofmanns 1965 erschienenes Lehrbuch gilt auch heutzutage noch als Standardwerk in der Grafikdesign-Ausbildung weltweit. Gerade in Zeiten der Rückbesinnung auf eine klare und minimalistische Formensprache, bietet Hofmanns Werk einen idealen Ausgangspunkt für zeitgemäßes Design. Um heutigen Designtechniken zu entsprechen, wurde diese Neuauflage nach einer computergerechten Systematik gegliedert. Dabei werden Bild- und Formelemente analysiert und auf ihre Gesetzmäßigkeiten untersucht, um diese auf die heutige Arbeit am Bildschirm anzuwenden. Das Buch zeigt, dass auch 50 Jahre nach der Erstauflage, Hofmanns Theorien und Ansätze immer noch ihre Gültigkeit für neue Generationen an Designern haben.","","","2017-12-17 16:52:25","0","0000-00-00","2017-12-17 21:40:22","7ae2197810da2be98c4d1513551b9ee7",
"26","Kunz, Willi","Typography: Macro- and Microaesthetics","3721203488","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 16:54:36","0","0000-00-00","2017-12-17 21:40:24","b6cb6dbaabbc296a58fbd20fe36de1c4",
"27","Kunz, Willi","Typography: Formation+TransFormation","3721204956","National Book Network","2003","0","1,","Default,","0","","159","","","0","","","","","0","","","Typographic design begins with a set of information and a concept. The designer, facing a blank sheet of paper or a computer screen, is anxious about the first step to take in developing a design. The elements of typography are an obvious starting point, but often do not get the attention they deserve. A thorough understanding of how letters, words, lines, paragraphs and columns are formed, what makes them unique as design elements, and how they express character and emotion are the most essential tools in the designer's repertoire. The basic principles of typographic design transform the utilitarian quality of words, lines, paragraphs and columns into an aesthetic form that conveys both the intellectual meaning and emotional feeling of the message. Through the relationship between the elements and space, and their rhythm and composition, design not only objectively conveys information but also gives subjective cues for the interpretation of its contents. As a visual form of language, typography is perceived as a whole before its individual parts are read. The surface characteristics of the design the topology create the first impression and derive from the form, size, position, and color of the typographic elements. Captured in a series of transparent diagrams, they reveal a new design dimension and animate the designer to further develop the original conceptual idea. This process provides the designer with a tool for refining, altering, adjusting, deconstructing and reassembling the individual levels to create a finely detailed, cohesive typographic composition.","Design / Graphic Arts / Typography","","2017-12-17 16:55:11","0","0000-00-00","2017-12-17 21:40:26","42d04b69f14f52444f29a0b0d242638a",
"28","Ruder, Emil","Typographie","9783721200430","Continental Sales, Incorporated","2001","0","1,","Default,","0","","228","","","0","","","","","0","","","L'auteur, qui a enseigné la typographie pendant 21 ans, s'est préoccupé dans son livre des problèmes de forme qui se posent au typographe dans l'exercice de sa profession. Les processus techniques y sont expliqués dans la mesure où ils participent à la forme donnée. De nombreux travaux présentés ici sont de l'auteur même ; d'autres ont été réalisés par ses élèves durant les cours. En 19 chapitres, ce livre nous montre la diversité des idées et des possibilités de dispositions typographiques. La typographie est constamment liée au but qui lui est assigné : elle dépend des lois de la lisibilité et de la reproduction. Aussi le typographe doit-il bien connaître la nature et la valeur des moyens qu'il utilise, savoir comparer les différentes valeurs entre elles et tenir compte de l'harmonie des proportions et des contrastes. Le souci principal de la typographie moderne ne s'attache pas à la recherche de l'idée spontanée et de l'inspiration originale, mais repose sur l'étude et la connaissance des lois fondamentales et essentielles de la forme, sur l'examen réfléchi des rapports, qui la préserveront d'une part de l'uniformité et des schémas banals, d'autre part d'une interprétation arbitraire. Ce livre se limite volontairement à la typographie pure et à l'usage des caractères préfabriqués soumis à un système de mesures extrêmement précis. Il fait ainsi apparaître clairement le caractère authentique de la typographie et l'opposition existant - malgré certains traits communs - entre typographie et graphisme utilitaire, ce dernier manifestant plus de liberté et de diversité dans le choix et l'emploi des moyens. L'auteur ne voudrait pas que son livre incite à copier, travers à éviter, mais au contraire qu'il mène à la conviction qu'une œuvre d'imprimerie bien conçue doit reposer sur le savoir, l'expérience et la réflexion. Il est d'avis que, pour aboutir à une création typographique valable, une véritable connaissance de son métier alliée à de mûres réflexions est plus importante encore que toute théorie individuelle sur le résultat final. Le livre ne s'adresse pas seulement aux typographes, mais à tous ceux que la typographie moderne intéresse.","Design / Graphic Arts / Typography","","2017-12-17 16:57:05","0","0000-00-00","2017-12-17 21:40:28","3b5dd60e0c5047d4483783537799029d",
"29","Elam, Kimberly","Geometry Of Design","9781568982496","Princeton Architectural Press","2001","0","1,","Default,","0","","130","","","0","","","","","0","","","At last, a mathematical explanation of how art works presented in a manner we can all understand. Kimberly Elam takes the reader on a geometrical journey, lending insight and coherence to the design process by exploring the visual relationships that have foundations in mathematics as well as the essential qualities of life. Geometry of Design-the first book in our new Design Briefs Series-takes a close look at a broad range of twentieth-century examples of design, architecture, and illustration (from the Barcelona chair to the Musica Viva poster, from the Braun handblender to the Conico kettle), revealing underlying geometric structures in their compositions. Explanations and techniques of visual analysis make the inherent mathematical relationships evident and a must-have for anyone involved in graphic arts. The book focuses not only on the classic systems of proportioning, such as the golden section and root rectangles, but also on less well known proportioning systems such as the Fibonacci Series. Through detailed diagrams these geometric systems are brought to life giving an effective insight into the design process.","Design / Graphic Arts / General","","2017-12-17 16:57:24","0","0000-00-00","2017-12-17 21:40:30","bb28a30db7341b2237e77a008d16546f",
"30","Brunton, Finn|Nissenbaum, Helen","Obfuscation a User's Guide for Privacy and Protest","9780262029735","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 17:01:25","0","0000-00-00","2017-12-17 21:40:32","898ee459094a45fb3836c741630dc8d3",
"31","Schell, Jesse","Art Of Game Design, The","9780123694966","Crc Press","2008-08-04","0","1,","Default,","0","","522","","","0","","","","","0","","","Anyone can master the fundamentals of game design - no technological expertise is necessary. The Art of Game Design: A Book of Lenses shows that the same basic principles of psychology that work for board games, card games and athletic games also are the keys to making top-quality videogames. Good game design happens when you view your game from many different perspectives, or lenses. While touring through the unusual territory that is game design, this book gives the reader one hundred of these lenses - one hundred sets of insightful questions to ask yourself that will help make your game better. These lenses are gathered from fields as diverse as psychology, architecture, music, visual design, film, software engineering, theme park design, mathematics, writing, puzzle design, and anthropology. Anyone who reads this book will be inspired to become a better game designer - and will understand how to do it.","Computers / Desktop Applications / Design & Graphics","","2017-12-17 17:01:41","0","0000-00-00","2017-12-17 21:40:34","99c84e6d4cb7d9f6291821ebb448a63a",
